DE_NO,DATA_ELEMENT_NAME,SIZE,START POSITION,STOP POSITION,FILE NAME,FILE SEGMENT (with RECORD-ID),File Segment Number,File Segment Name
CIP085,PROCEDURE-CODE-DATE-4,9(8),371,378,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP086,PROCEDURE-CODE-5,X(8),379,386,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP088,PROCEDURE-CODE-FLAG-5,X(2),387,388,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP089,PROCEDURE-CODE-DATE-5,9(8),389,396,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP090,PROCEDURE-CODE-6,X(8),397,404,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP092,PROCEDURE-CODE-FLAG-6,X(2),405,406,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP093,PROCEDURE-CODE-DATE-6,9(8),407,414,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP094,ADMISSION-DATE,9(8),415,422,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP095,ADMISSION-HOUR,X(2),423,424,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP096,DISCHARGE-DATE,9(8),425,432,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP097,DISCHARGE-HOUR,X(2),433,434,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP098,ADJUDICATION-DATE,9(8),435,442,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP099,MEDICAID-PAID-DATE,9(8),443,450,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP100,TYPE-OF-CLAIM,X(1),451,451,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP101,TYPE-OF-BILL,X(4),452,455,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP102,CLAIM-STATUS,X(3),456,458,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP103,CLAIM-STATUS-CATEGORY,X(3),459,461,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP104,SOURCE-LOCATION,X(2),462,463,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP105,CHECK-NUM,X(15),464,478,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
