Source,Source File,Table Name,Column,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PRGINC ,,"Pregnancy, incomplete ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Program ,,The Program the recipent is using. ,char ,,,,,,,,Y,,,#N/A ,,,"Expansion, Dual, .... ",Live Data Transmission,,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PSYH ,,"Psychiatric, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PSYL ,,"Psychiatric, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PSYM ,,"Psychiatric, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PSYML ,,"Psychiatric, medium low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PULH ,,"Pulmonary, high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PULL ,,"Pulmonary, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PULM ,,"Pulmonary, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,PULVH ,,"Pulmonary, very high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,RecipNo ,,Unique Member Identifier ,char ,,,,,,,,Y,,,10,,,,Live Data Transmission,,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,RENEH ,,"Renal, extra high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,RENL ,,"Renal, low ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,RENM ,,"Renal, medium ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,RENVH ,,"Renal, very high ",int ,,,,,,,,Y,,,1 ,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,RiskScore_Final ,,Final risk adjusted score,int ,,,,,,,,Y,,,1,,,,,,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
Milliman,Actuarial Risk Scoring,2017 Data Layout File,Scored ,,Incidcator for member whos few than 6 months evaluation period. ,int ,,,,,,,,Y,,,1,,,,"0, 1",,,N,"HAP_UH - WIP Actuarial Risk Scores ICD v20230712.docx (sharepoint.com),  Milliman Data Dictionary and Mappings 20181116.xlsb "
