Table Name,Column,Description,Data Type,Max Length,Ordinal Position
T1147xPage3,SP_DecUlcersStageIIIOrAbove_Times,Skilled Procedures – Decubitus ulcers (Stage III and above). ,int,,10
T1147xPage3,SP_DecUlcersBelowStageIII_Times,"Skilled Procedures – Decubitus ulcers (less than Stage III), wound care. ",int,,11
T1147xPage3,SP_DecUlcersBelowStageIII_Nature,"Skilled Procedures – Decubitus ulcers (less than Stage III), wound care – description regarding nature of ulcer/wound. ",varchar,255,12
T1147xPage3,SP_DecUlcersBelowStageIII_CarePrescribed,"Skilled Procedures – Decubitus ulcers (less than Stage III), wound care – description regarding care prescribed.  ",varchar,255,13
T1147xPage3,SP_WoundCare_Times,Skilled Procedures – Wound care. ,int,,14
T1147xPage3,SP_WoundCare_Nature,Skilled Procedures – Wound care – description regarding nature of wound.,varchar,255,15
T1147xPage3,SP_WoundCare_CarePrescribed,Skilled Procedures – Wound care – description regarding care prescribed. ,varchar,255,16
T1147xPage3,SP_WoundCare_IsDebridement,Skilled Procedures – Wound care includes a checkbox for the assessor to indicate wound requires debridement. ,bit,,17
T1147xPage3,SP_WoundCare_IsIrrigation,includes a checkbox for the assessor to indicate wound requires irrigation. ,bit,,18
T1147xPage3,SP_WoundCare_IsPacking,Skilled Procedures – wound care includes a checkbox for the assessor to indicate wound requires packing. ,bit,,19
T1147xPage3,SP_WoundCare_IsWoundVac,Skilled Procedures – wound care includes a checkbox for the assessor to indicate wound requires vac. ,bit,,20
T1147xPage3,SP_InstillationOfMedications_Times,Skilled Procedures – Instillation of medications via indwelling urinary catheters. ,int,,21
T1147xPage3,SP_InstillationOfMedications_Agent,Skilled Procedures – Instillation of medication – description regarding agent.  ,varchar,255,22
T1147xPage3,SP_IntermittentUrinaryCath_Times,Skilled Procedures – Intermittent urinary catheterization. ,int,,23
T1147xPage3,SP_IMSQMedications_Times,Skilled Procedures – IM/SQ medications. ,int,,24
T1147xPage3,SP_IMSQMedications_Agent,Skilled Procedures – IM/SQ medications – description regarding agent.,varchar,255,25
T1147xPage3,SP_DifficultyWithOralMeds_Times,Skilled Procedures – Difficulty with administration of oral medications. ,int,,26
T1147xPage3,SP_DifficultyWithOralMeds_Explanation,Skilled Procedures – Explanation regarding difficulty with administration of oral medication.,varchar,255,27
T1147xPage3,SP_SwallowingDifficulties_Times,Skilled Procedures – Swallowing difficulties and/or choking. ,int,,28
T1147xPage3,SP_StableGastNasoJejuTubeFeeds_Times,Skilled Procedures – Stable Gastrostomy/Nasogastric/Jejunostomy tube feedings.  ,int,,29
T1147xPage3,SP_StableGastNasoJejuTubeFeeds_IsPump,Skilled Procedures –includes a checkbox for the assessor to indicate an enteral pump is required. ,bit,,30
T1147xPage3,SP_GastNasoJejuTubeFeedsAspiration_Times,Skilled Procedures – Gastrostomy/Nasogastric/Jejunostomy tube feedings in persons at risk for aspiration. ,int,,31
T1147xPage3,SP_GastNasoJejuTubeFeedsAspiration_Reason,"Skilled Procedures –description of why the member is at risk for aspiration.
 Blank for 1147e forms.",varchar,255,32
T1147xPage3,SP_InitialOxygenTherapy_Times,Skilled Procedures – Initial phase of Oxygen therapy. ,int,,33
T1147xPage3,SP_NebulizerTreatment_Times,Skilled Procedures – Nebulizer treatment. ,int,,34
T1147xPage3,SP_ComplicatingProblems_Times,"Skilled Procedures – Complicating problems of patients on Renal Dialysis, Chemotherapy, Radiation Therapy or Orthopedic Traction. ",int,,35
T1147xPage3,SP_ComplicatingProblems_IsRenalDialysis,Skilled Procedures – checkbox for the assessor to indicate there are complicating problems for member on Renal Dialysis. ,bit,,36
T1147xPage3,SP_ComplicatingProblems_IsChemo,Skilled Procedures – checkbox for the assessor to indicate there are complicating problems for member on Chemotherapy. ,bit,,37
T1147xPage3,SP_ComplicatingProblems_IsRadiation,Skilled Procedures – checkbox for the assessor to indicate there are complicating problems for member on radiation. ,bit,,38
T1147xPage3,SP_ComplicatingProblems_IsOrthoTraction,"Skilled Procedures – Complicating problems of patients on Renal Dialysis, Chemotherapy, Radiation Therapy or Orthopedic Traction. ",bit,,39
T1147xPage3,SP_ComplicatingProblems_Desc,"Skilled Procedures – Explanation regarding any complicating problems due to Renal Dialysis, Chemotherapy, Radiation Therapy or Orthopedic Traction.",varchar,255,40
T1147xPage3,SP_BehavProbsFromNueroImpairment_Times,Skilled Procedures – Behavioral problems related to neurological impairment. ,int,,41
T1147xPage3,SP_BehavProbsFromNueroImpairment_Desc,Skilled Procedures – Description of any behavioral problems related to neurological impairment.  ,varchar,255,42
T1147xPage3,SP_Other_Times,Skilled Procedures – Other conditions. ,int,,43
T1147xPage3,SP_Other_ConditionDesc,Skilled Procedures – Description of any other conditions.  ,varchar,255,44
T1147xPage3,SP_Other_NursingIntervention,Skilled Procedures – Description of any nursing interventions.  ,varchar,255,45
T1147xPage3,SP_IsTherapeuticDiet,Skilled Procedures – Therapeutic Diet radio button for the assessor to indicate member requires therapeutic diet needs. ,bit,,46
T1147xPage3,SP_TherapeuticDiet_Desc,Skilled Procedures – Description of Therapeutic diet needs. ,varchar,255,47
T1147xPage3,SP_IsRestorativeTherapy,Skilled Procedures – checkbox for the assessor to indicate there is a PT plan. ,bit,,48
T1147xPage3,SP_IsRestorativeTherapy_PT,Skilled Procedures – radio button for the assessor to indicate there are restorative therapy needs. ,bit,,49
T1147xPage3,SP_IsRestorativeTherapy_OT,Skilled Procedures – checkbox for the assessor to indicate there is an OT plan. ,bit,,50
