T-MSIS V4.0.0 - Record Layout,,,,,,,,,,,
"Changes from v4.x.x Update to v4.0.0
","New Row Number
   ","File Segment Number
   ","File Segment Name
   ","System Data Element Number
   ","Data Element Number
   ","Data Element Name Computing
   ","Pipe Separated Value Segment Data Element Order
   ","Size
   ","Fixed Length Field Start Position
   ","Fixed Length Field Stop Position
   ","Notes - Changes from v4.x.x Update to v4.0.0
 "
NONE,157,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.212,CIP212,CLAIM-DENIED-INDICATOR,141,X(1),1130,1130,
NONE,158,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.213,CIP213,COPAY-WAIVED-IND,142,X(1),1131,1131,
NONE,159,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.214,CIP214,HEALTH-HOME-ENTITY-NAME,143,X(50),1132,1181,
NONE,160,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.216,CIP216,THIRD-PARTY-COINSURANCE-AMOUNT-PAID,144,S9(11)V99,1182,1194,
NONE,161,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.217,CIP217,THIRD-PARTY-COINSURANCE-DATE-PAID,145,9(8),1195,1202,
NONE,162,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.218,CIP218,THIRD-PARTY-COPAYMENT-AMOUNT-PAID,146,S9(11)V99,1203,1215,
NONE,163,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.219,CIP219,THIRD-PARTY-COPAYMENT-DATE-PAID,147,9(8),1216,1223,
NONE,164,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.220,CIP220,MEDICAID-AMOUNT-PAID-DSH,148,S9(11)V99,1224,1236,
NONE,165,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.221,CIP221,HEALTH-HOME-PROVIDER-NPI,149,X(10),1237,1246,
NONE,166,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.222,CIP222,MEDICARE-BENEFICIARY-IDENTIFIER,150,X(12),1247,1258,
NONE,167,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.223,CIP223,OPERATING-PROV-TAXONOMY,151,X(12),1259,1270,
NONE,168,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.228,CIP228,MEDICARE-PAID-AMT,152,S9(11)V99,1271,1283,
NONE,169,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.289,CIP289,PROV-LOCATION-ID,153,X(5),1284,1288,
NONE,170,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.290,CIP290,BEGINNING-DATE-OF-SERVICE,154,9(8),1289,1296,
NONE,171,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.291,CIP291,ENDING-DATE-OF-SERVICE,155,9(8),1297,1304,
NONE,172,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.292,CIP292,TOT-BENEFICIARY-COPAYMENT-LIABLE-AMOUNT,156,S9(11)V99,1305,1317,
NONE,173,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.293,CIP293,TOT-BENEFICIARY-COINSURANCE-LIABLE-AMOUNT,157,S9(11)V99,1318,1330,
NONE,174,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.294,CIP294,TOT-BENEFICIARY-DEDUCTIBLE-LIABLE-AMOUNT,158,S9(11)V99,1331,1343,
NONE,175,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.295,CIP295,COMBINED-BENE-COST-SHARING-PAID-AMOUNT,159,S9(11)V99,1344,1356,
NONE,176,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.297,CIP297,LTC-RCP-LIAB-AMT,160,S9(11)V99,1357,1369,
NONE,177,CIP00002,CLAIM-HEADER-RECORD-IP,CIP.002.298,CIP298,BILLING-PROV-ADDR-LN-1,161,X(60),1370,1429,
