CONCAT_NAME,TABLE_NAME,COLUMN_NAME,DESCRIPTION,ICD_DESC,DATA_TYPE,ICD_TYPE,LENGTH,,ICD_LEN,MIN_LEN,MAX_LEN,ONE_LENGTH
UH_ARIEL_RACE_ETHNICITYEMPLOYEE_SSN,UH_ARIEL_RACE_ETHNICITY,EMPLOYEE_SSN,Social Security Number of the employee ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_RACE_ETHNICITYHB_NUMBER,UH_ARIEL_RACE_ETHNICITY,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_SUBSCRIBERBIRTH_DATE,UH_ARIEL_SUBSCRIBER,BIRTH_DATE,Subscriber's date of birth,Subscriber's date of birth,VARCHAR,varchar,10,ICD,10,8,10,NO
UH_ARIEL_SUBSCRIBERDEATH_DATE,UH_ARIEL_SUBSCRIBER,DEATH_DATE,Subscriber's date of death,Subscriber's date of death,VARCHAR,varchar,10,ICD,10,8,10,NO
UH_ARIEL_SUBSCRIBERDEPENDENT_SEQ_NO,UH_ARIEL_SUBSCRIBER,DEPENDENT_SEQ_NO,Sequence number for dependents associated with the subscriber,Sequence number for dependents associated with the subscriber,INT, ,1,ICD, ,1,1,YES
UH_ARIEL_SUBSCRIBEREMPLOYEE_SSN,UH_ARIEL_SUBSCRIBER,EMPLOYEE_SSN,Social Security Number of the employee ,Subscriber's Social Security Number,VARCHAR,varchar,15,ICD,15,7,11,NO
UH_ARIEL_SUBSCRIBERFIRST_NAME,UH_ARIEL_SUBSCRIBER,FIRST_NAME,Subscriber's first name,Subscriber's first name,VARCHAR,varchar,100,ICD,100,1,33,NO
UH_ARIEL_SUBSCRIBERGENDER,UH_ARIEL_SUBSCRIBER,GENDER,Subscriber's gender,Subscriber's gender,CHAR,varchar,1,ICD,1,1,1,YES
UH_ARIEL_SUBSCRIBERHB_NUMBER,UH_ARIEL_SUBSCRIBER,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,3,8,NO
UH_ARIEL_SUBSCRIBERLAST_NAME,UH_ARIEL_SUBSCRIBER,LAST_NAME,Subscriber's last name,Subscriber's last name,VARCHAR,varchar,100,ICD,100,1,29,NO
UH_ARIEL_SUBSCRIBERMARITAL_STATUS,UH_ARIEL_SUBSCRIBER,MARITAL_STATUS,Marital status of the subscriber,Marital status of the subscriber,CHAR,varchar,1,ICD,1,1,1,YES
UH_ARIEL_SUBSCRIBERMIDDLE_NAME,UH_ARIEL_SUBSCRIBER,MIDDLE_NAME,Subscriber's middle name,Subscriber's middle name,VARCHAR,varchar,100,ICD,100,1,30,NO
UH_ARIEL_SUBSCRIBERSUFFIX,UH_ARIEL_SUBSCRIBER,SUFFIX,Subscriber's name suffix,Subscriber's name suffix,VARCHAR,varchar,50,ICD,50,1,6,NO
