TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
ME,ME052,int,int,,Laboratory Benefit Flag,"Laboratory Benefit Indicator. Report the value that defines if the Member has Laboratory benefits coverage.
EXAMPLE: 1 = Yes, Lab is covered benefit."
ME,ME053,int,int,,Disease Management Enrollee Flag,"Chronic Illness Management Indicator. Report the value that defines if the Member has Chronic Illness Management coverage.
EXAMPLE: 1 = Yes, Member's chronic illness is being managed by plan or vendor of plan."
ME,ME054,int,int,,Eligibility Determination Date,Eligibility Date. Report the date the member eligibility was determined in CCYYMMDD format.
ME,ME055,int,int,,Business Type Code,Business Type. Report the value that defines the Reporter's line of business for this line of eligibility. EXAMPLE: 1 = Risk Holder of this line of eligibility.
ME,ME056,int,int,,Last Activity Date,"Last Activity Date. Report the date of last activity / change on the Member enrollment file for this line of eligibility in CCYYMMDD format. This includes any/all life change updates, open enrollment changes, or benefit design changes by the Reporter."
ME,ME057,int,int,,Date of Death,"Member's Date of Death. Report the Member's date of death in CCYYMMDD format. If still alive or date of death is unknown, do not report any value here."
ME,ME058,varchar(60),varchar,60,Subscriber Street Address,Subscriber's Street Address. Report the Subscriber's street address.
ME,ME058A,varchar(60),varchar,60,Subscriber Street Address 2,"Subscriber's Street Address 2. Report the Subscriber's street address that may contain office number, suite, or other secondary information besides the street."
ME,ME059,int,int,,Disability Indicator Flag,"Disability Status Indicator. Report the value that defines if the Member has a disability.
EXAMPLE: 1 = Yes, Member has a disability."
ME,ME060,char(1),char,1,Employment Status,Employment Status Code. Report the code that defines the employment status of the Subscriber. EXAMPLE: A = Active.
ME,ME061,int,int,,Student Status,"Student Status Indicator. Report the value that defines the if the Member is a student. Student status is defined as student under the age of 26 on their parent's plan.
EXAMPLE: 1 = Yes, Member is a student."
ME,ME062,char(1),char,1,Marital Status,"Marital Status Code. Report the member's marital status.
EXAMPLE: M = Married."
ME,ME063,char(1),char,1,Benefit Status,Benefit Status Code. Report the code that defines status of benefits for the Subscriber.
ME,ME064,char(1),char,1,Employee Type,Employee Type Code. Report the code that defines the Subscribers employment.
ME,ME065,int,int,,Date of Retirement,Member's date of Retirement. Report the date of the Subscriber's retirement in CCYYMMDD format.
ME,ME066,int,int,,COBRA Status,"COBRA Status Indicator. Report the value that defines if the Member is covered using a COBRA benefit. EXAMPLE: 1 = Yes, Member is covered using COBRA benefit."
ME,ME067,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME068,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME069,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME070,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME071,int,int,,Pool Indicator,"Pool Indicator Code. Report the value that defines one of the EUTF Risk Pools in which this member is enrolled. This element is required for EUTF Reporters only. Non-EUTF Reporters should not report any value here.
EXAMPLE: 1 = State Employee - Active"
ME,ME072,varchar(2),varchar,2,Family Size,Family Size Contracted. Report the number of individuals covered under the policy / contract (ME009) of the Subscriber. No alpha or special characters.
ME,ME073,int,int,,Fully Insured Member,"Fully Insured identifier. Report the value that defines if the Member is fully insured under this contract.
EXAMPLE: 1 = Yes, Member is fully insured."
ME,ME074,int,int,,Interpreter,"Interpreter Indicator. Report the value that defines if the Member requires an interpreter.
EXAMPLE: 1 = Yes, Member requires an interpreter."
ME,ME075,varchar(20),varchar,20,Medicaid ID,Medicaid-Assigned Member ID. Report the unique ID that Medicaid uses to identify a member. This ID must be on all lines of eligibility for Med-QUEST and Medicaid MCOs.
ME,ME076,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME077,varchar(6),varchar,6,Member NAICS / SIC Code,Member Standard NAIC or SIC Code. Report the standard code that describes the industry of the Subscriber / Member. This can be from either the NAICS 6-digit list or the SIC 4-digit list. 
ME,ME078,varchar(9),varchar,9,Employer Zip Code,Zip Code of the Employer. Report the 5- or 9-digit Zip Code of the Employer of the Subscriber / Member as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
ME,ME079,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME080,varchar(50),varchar,50,Filler,Filler. SHPDA reserves this field for future use. Do not populate with any data.
ME,ME081,int,int,,Medicare Code,Medicare Plan Indicator Code. Report the value that defines if and what type of Medicare coverage that applies to this line of eligibility. EXAMPLE: 1 = Part A Only.
