Source,Source File,Table Name,Column,,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
CMS_MMA,Response File,DET_PRO_LIS,Filler_5,,Filler,CHAR,,,,,,,,Y,3890,4000,111,,,,Live Data Transmission,343,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,Record_Identification_Code,,Trailer Record ID code,CHAR,,,,,,,,,1,3,3,,,,Live Data Transmission,1,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,File_Process_Timestamp,,"The exact time that the State file is processed.
",CHAR,CCYY-MM-DD-hh.mm.ss.nnnnnn.,,,,,,,,4,29,26,,,"CCYY – Year.
MM – Month.
DD – Day.
hh – Hour.
mm – Minute.
ss – Second.
nnnnnn – Microsecond.",Live Data Transmission,2,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,File_Create_Month,,Month that the MMA Request file is created.,NUM,,,,,,,,,30,31,2,,,,Live Data Transmission,3,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,File_Create_Year,,Year that MMA Request file is created.,NUM,,,,,,,,,32,35,4,,,,Live Data Transmission,4,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,File_Accept_Indicator,,Y – The MMA Request file is accepted.,CHAR,,,,,,,,,36,,1,,,,Y,5,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,Filler,,Filler,CHAR,,,,,,,,,37,43,7,,,,Live Data Transmission,6,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,Record_Identification_Code,,A copy of the trailer record in the incoming file is displayed in items 7 – 12 (positions 44-223).,CHAR,,,,,,,,,44,46,3,,,,Live Data Transmission,7,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,Beneficiary_Record_Count,,Count of the Beneficiary records,NUM,,,,,,,,,47,54,8,,,,Live Data Transmission,8,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,State_Code,,"US Postal Service State Abbreviation.
See Table 15-3, State Codes.",CHAR,,,,,,,,,55,56,2,,,,Live Data Transmission,9,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
